,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color
119,3780,200000.0,1324.0,-10.7,5,Red
120,3323,0.00043,0.0912,17.16,0,Red
121,3531,0.00093,0.0976,19.94,0,Red
122,3218,0.00054,0.11,20.02,0,Red
123,3146,0.00015,0.0932,16.92,0,Red
124,3511,0.00064,0.109,17.12,0,Red
125,3225,0.00076,0.121,19.63,0,Red
126,2935,0.00087,0.0932,16.88,0,Red
127,2861,0.00019,0.0899,16.71,0,Red
128,2856,0.000896,0.0782,19.56,0,Red
129,2731,0.000437,0.0856,18.09,0,Red
130,3095,0.00019,0.492,10.87,1,Red
131,3607,0.00023,0.38,10.34,1,Red
132,3100,0.008,0.31,11.17,1,Red
133,2989,0.0087,0.34,13.12,1,Red
134,3542,0.0009,0.62,14.23,1,Red
135,3243,0.0023,0.73,14.75,1,Red
136,3091,0.0081,0.24,11.43,1,Red
137,3598,0.0011,0.56,14.26,1,Red
138,3324,0.0034,0.34,12.23,1,Red
139,3541,0.0013,0.256,14.33,1,Red
140,13420,0.00059,0.00981,13.67,2,Blue White
141,21020,0.0015,0.0112,11.52,2,Blue
142,18290,0.0013,0.00934,12.78,2,Blue
143,14520,0.00082,0.00972,11.92,2,Blue White
144,11900,0.00067,0.00898,11.38,2,Blue white 
145,8924,0.00028,0.00879,14.87,2,Blue white
146,12912,0.00071,0.00945,12.83,2,Blue white
147,14732,0.00011,0.00892,12.89,2,white
148,7723,0.00014,0.00878,14.81,2,White
149,12984,0.00088,0.00996,11.23,2,Blue White
150,29560,188000.0,6.02,-4.01,3,Blue-white
151,8945,38.0,2.487,0.12,3,Blue-White
152,14060,1092.0,5.745,-2.04,3,Blue-white
153,16390,1278.0,5.68,-3.32,3,Blue-white
154,25070,14500.0,5.92,-3.98,3,Blue-white
155,28700,16790.0,6.4,-4.09,3,Blue-white
156,26140,14520.0,5.49,-3.8,3,Blue-white
157,20120,4720.0,6.78,-3.4,3,Blue-white
158,13023,998.0,6.21,-1.38,3,Blue-white
159,37800,202900.0,6.86,-4.56,3,Blue
160,25390,223000.0,57.0,-5.92,4,Blue
161,11567,251000.0,36.0,-6.245,4,Blue
162,12675,452000.0,83.0,-5.62,4,Blue
163,5752,245000.0,97.0,-6.63,4,Blue
164,8927,239000.0,35.0,-7.34,4,Blue
165,7282,131000.0,24.0,-7.22,4,Blue
166,19923,152000.0,73.0,-5.69,4,Blue
167,26373,198000.0,39.0,-5.83,4,Blue
168,17383,342900.0,30.0,-6.09,4,Blue
169,9373,424520.0,24.0,-5.99,4,Blue
170,3570,320000.0,1480.0,-7.58,5,Red
171,3500,138000.0,1420.0,-8.18,5,Red
172,4287,630000.0,1315.0,-9.2,5,Orange
173,26000,316000.0,1679.0,-9.1,5,Blue
174,3600,240000.0,1190.0,-7.89,5,Red
175,3614,145000.0,1553.0,-7.71,5,Red
176,18000,200000.0,1045.0,-8.3,5,Blue
177,11000,170000.0,1779.0,-9.9,5,Blue-white
178,12100,120000.0,708.9,-7.84,5,Blue-white
179,24490,248490.0,1134.5,-8.24,5,Blue-white
180,2831,0.000231,0.0915,16.21,0,Red
181,2914,0.000631,0.116,18.39,0,Red
182,3419,0.000245,0.126,17.56,0,Red
183,3218,0.000452,0.0987,17.34,0,Red
184,3453,0.000621,0.0773,17.08,0,Red
185,2889,0.000352,0.0973,16.93,0,Red
186,2968,0.000461,0.119,17.45,0,Red
187,3484,0.000551,0.0998,16.67,0,Red
188,2778,0.000849,0.112,19.45,0,Red
189,3523,0.000957,0.129,16.35,0,Red
190,3462,0.0053,0.148,11.47,1,Red
191,3257,0.0024,0.46,10.73,1,Red
192,2994,0.0072,0.28,13.45,1,Red
193,3212,0.0016,0.378,12.854,1,Red
194,3523,0.0054,0.319,12.43,1,Red
195,3598,0.0027,0.67,13.667,1,Red
196,3142,0.00132,0.258,14.12,1,Red
197,3496,0.00125,0.336,14.94,1,Red
198,3324,0.0065,0.471,12.78,1,Red
199,3463,0.0027,0.675,14.776,1,Red
200,16790,0.0014,0.0121,12.87,2,Blue
201,15680,0.00122,0.0114,11.92,2,Blue
202,14982,0.00118,0.0113,12.23,2,Blue
203,13340,0.00109,0.0116,12.9,2,Blue
204,18340,0.00134,0.0124,11.22,2,Blue
205,19920,0.00156,0.0142,11.34,2,Blue
206,24020,0.00159,0.0127,10.55,2,Blue
207,23092,0.00132,0.0104,10.18,2,Blue
208,17920,0.00111,0.0106,11.66,2,Blue
209,19360,0.00125,0.00998,11.62,2,Blue
210,22350,12450.0,6.36,-3.67,3,Blue-white
211,10012,552.0,5.856,0.013,3,Blue-white
212,13089,788.0,5.992,-0.12,3,Blue-white
213,22012,6748.0,6.64,-2.55,3,Blue-white
214,34190,198200.0,6.39,-4.57,3,Blue
215,32460,173800.0,6.237,-4.36,3,Blue
216,9320,29.0,1.91,1.236,3,Blue-white
217,19400,10920.0,6.03,-3.08,3,Blue-white
218,17140,883.0,5.653,-2.64,3,Blue-white
219,8250,9.25,1.93,-0.98,3,yellow-white
220,23678,244290.0,35.0,-6.27,4,Blue
221,12749,332520.0,76.0,-7.02,4,Blue
222,9383,342940.0,98.0,-6.98,4,Blue
223,23440,537430.0,81.0,-5.975,4,Blue
224,16787,246730.0,62.0,-6.35,4,Blue
225,18734,224780.0,46.0,-7.45,4,Blue
226,9892,593900.0,80.0,-7.262,4,Blue
227,10930,783930.0,25.0,-6.224,4,Blue
228,23095,347820.0,86.0,-5.905,4,Blue
229,21738,748890.0,92.0,-7.346,4,Blue
230,24145,382993.0,1494.0,-8.84,5,Blue-white
231,38234,272830.0,1356.0,-9.29,5,Blue
232,32489,648430.0,1948.5,-10.84,5,Blue
233,27739,849420.0,1252.0,-7.59,5,Blue-white
234,21904,748490.0,1130.0,-7.67,5,Blue-white
235,38940,374830.0,1356.0,-9.93,5,Blue
236,30839,834042.0,1194.0,-10.63,5,Blue
237,8829,537493.0,1423.0,-10.73,5,White
238,9235,404940.0,1112.0,-11.23,5,White
239,37882,294903.0,1783.0,-7.8,5,Blue
